Hour,Month,WindSpeed,WindDir,Rain,Power
9,7,2.7,NW,0,57.5
1,5,2.7,NE,0,66.3
3,11,0.9,ENE,0,35.2
14,1,1.8,SSE,0,13.1
11,4,3.1,NE,0,30.5
15,1,3.1,W,0,51.6
1,2,0,---,0,72.8
22,10,2.7,W,0,107.9
5,7,3.1,NE,0,52.5
7,3,0.4,S,0,45.8
6,9,0.4,ENE,0,1.8
11,9,0.9,SE,0,13.3
2,6,0,WSW,0,56.2
11,4,1.8,E,0,13.8
23,4,1.3,SE,0,37.4
16,5,1.8,SSE,0,25.4
3,3,1.3,NW,0,18.7
17,11,1.3,NNW,0,0
23,7,0.4,WNW,0,5.4
12,11,1.3,SW,0,17.4
0,7,2.2,NNW,0,36.4
15,8,0.4,WSW,0,0
0,5,0,WNW,0,37.3
1,12,0,---,0,4.4
6,3,2.2,NE,0,21.3
15,10,1.8,NNE,0,5.7
19,8,0.4,WSW,0,30.1
16,7,0.4,SE,0,2
21,7,3.6,NE,0,108.7
10,11,1.3,SE,0,1.8
8,5,0.4,WSW,0,10.8
10,1,3.1,ENE,0,16.2
13,6,2.7,NNW,0,77.6
16,3,2.2,WSW,0,48
1,7,0,NE,0,-0.3
14,5,0.4,W,0.2,39.4
2,4,3.6,ENE,0,53
18,2,1.8,SSE,0,28.8
20,5,0.4,NW,0,1
15,6,2.2,WNW,0,36.8
4,2,1.3,E,0,18.4
21,4,2.2,NE,0,47.8
10,7,5.8,WNW,0,1.1
2,7,5.4,NE,0,86.7
5,3,4,ENE,0,96
7,10,1.8,SE,0,45.4
3,6,0.9,NW,0,5.2
23,8,0,ESE,0,38.5
19,9,3.6,NNE,0,108.8
15,10,1.8,SSE,0,37.5
8,3,2.2,ENE,0,77.2
4,4,0,---,0,39
3,3,0,---,0,105.4
17,7,1.3,NW,0,54.2
14,1,2.2,W,0,18.1
3,8,0.4,WSW,0,0
6,11,0.9,SW,0,107.8
23,10,0.9,SE,0,14.5
18,9,1.8,NNE,0,32.2
4,7,0.9,E,0,95.7
3,7,0,---,0,6.8
22,12,0,---,0,79.6
20,6,0.9,NE,0,19.2
11,6,2.7,NNE,0,55.6
20,3,0.4,SSE,0,16.6
7,2,1.3,ENE,0,28.8
18,2,0.9,SSE,0,2.9
3,11,0,---,0,30.5
12,8,0.4,WSW,0,0
8,7,0.9,WNW,0,14.1
23,7,0,---,0,3.9
15,6,0,---,0,3.4
19,5,0,WSW,0,103.4
14,1,2.2,SW,0,87.3
5,11,0.9,ENE,0,42.2
4,9,0,E,0,-0.4
0,9,1.8,NNW,0,41.7
0,10,0,---,0,77.7
19,5,0,S,0,82
15,3,0,---,0,10.9
4,12,0,---,0,1.8
18,10,3.6,NW,0,99.6
7,9,2.2,NE,0,42.3
4,1,3.6,NE,0,78.7
20,9,3.6,NNE,0,108.6
13,6,4,NW,0,34.7
11,6,0,---,0,1
23,4,0,W,0,11.1
23,11,1.8,E,0,76.4
2,11,1.3,NNE,0,25.7
10,1,4,NE,0,35.7
22,12,0,---,0,29.5
7,7,3.6,NNW,0,73.1
10,4,4.5,ENE,0,95.9
22,1,0,SE,0,62
10,5,5.4,NW,0,39.8
3,11,2.7,NW,0,94.2
23,7,1.8,ENE,0,47
5,7,0,---,0,4.7
9,1,1.3,SSE,0,4.5
0,7,2.7,NNW,0,67.5
21,2,0.4,SSE,0,14.2
13,10,0,---,0,79.8
23,6,3.6,NE,0,63.3
21,1,2.2,SE,0,87.6
2,2,3.6,ENE,0,59.8
6,2,0,---,0,77.8
17,6,1.8,NNE,0,79.7
15,7,0.9,E,0,4.5
23,7,0.4,ENE,0,-0.1
12,2,1.3,E,0,3.2
7,7,3.1,NE,0,103.4
